address,house type,# of beds,# of baths,price,,
559 Manor Ridge Crescent,House,4,5,$1 699 900,,
850 Creekside Drive,House,5,5,$1 259 000,,
52 - 50 Blue Springs Drive,Condo,2,2,$539 000,,
106 - 250 Glenridge Drive,Condo,3,2,$449 900,,
594 Leighland Drive,House,4,4,$1 299 000,,
801 Sundrops Court,House,4,4,$1 150 800,,
526 Twin Oaks Cres,House,3,2,$579 000,,
27 Cardill Crescent,House,6,3,$559 900,,
405 - 250 Glenridge Drive,Condo,3,2,$549 900,,
205 Harvard Road,House,4,2,$499 999,,
280 Dale Crescent,House,3,2,$499 000,,
B307 - 112 Union Street E,Townhouse,2,1,$449 900,,
D - 223 Harvard Place,Townhouse,3,2,$319 000,,
Lot 1 Foamflower Place,House,4,4,$796 900,,
509 Wood Nettle Way,House,5,3,$1 075 000,,
301 Sweet Gale Street,House,4,3,$750 000,,
115 Glenecho Court,House,4,3,$729 900,,
#1003 -158 King St N,Condo,2,2,$399 840,,
#T1-1805 -330 Phillip St,Condo,2,1,$339 000,,
301-405 Erb Street West,Condo,2,2,$324 888,,
401 Old Oak Dr,House,5,5,$950 000,,
Lot 2 Foamflower Place,House,3,3,$699 900,,
768 Karlsfeld Rd,House,3,3,$679 999,,
18 Moore Ave,House,3,2,$649 900,,
134 Roger Street,House,2,2,$449 900,,
4425 Fountain St N,House,5,2,$4 500 000,,
Lot 3 Foamflower Place,House,3,3,$694 900,,
389 Tealby Crescent,House,3,3,$629 000,,
493 Thorndale Drive,House,4,4,$550 000,,
287 Pastern Trail,House,3,3,$485 000,,
531 Virginia Creeper Street,House,3,2,$469 000,,
#17 -121 University Ave E,Townhouse,5,3,$309 900,,
521-308 Lester Street,Condo,1,1,$284 888,,
760 Butternut Avenue,House,3,3,$549 000,,
590 Springwater Drive,House,4,3,$849 900,,
628 Montpellier Dr,House,7,4,$799 000,,
300 Autumn Place,House,4,4,$759 900,,
19 - 460 Woolwich Street,Townhouse,3,3,$549 900,,
5 - 614 Maple Forest Lane,House,5,3,$794 900,,
175 Sunpoint Crescent,House,3,2,$560 000,,
1602 - 144 Park Street,Condo,2,2,$519 900,,
#F210 -275 Larch St,Condo,2,2,$369 900,,
#31 -279 Sandowne Dr,Townhouse,2,2,$324 900,,
584 Manor Ridge Crescent,House,4,4,$1 375 000,,
701 Holly View Place,House,4,3,$880 000,,
A404 - 275 Larch Street,Condo,2,2,$390 000,,
219 - 257 Hemlock Street,Condo,1,1,$325 000,,
1511 - 258 Sunview Street,Condo,1,1,$327 990,,
403 Barrington Lane,House,4,4,$799 900,,
181 Forsyth Drive,House,4,2,$750 000,,
501 Millstream Dr,House,5,4,$1 299 888,,
140 Cinnamon Fern Street,House,4,3,$743 800,,
#1702 -158 King St N,Condo,1,1,$298 000,,
735 Sundew Drive,House,5,5,$1 079 000,,
503 Yorkshire Drive,House,4,4,$749 000,,
101 - 776 Laurelwood Drive,Condo,2,2,$389 000,,
#503 -321 Spruce St,Condo,2,1,$318 000,,
#1508 -318 Spruce St,Condo,1,1,$285 000,,
571 Strathmere Court,House,4,5,$1 060 000,,
718 Brookmill Place,House,4,4,$725 000,,
718 Brookmill Pl,House,4,4,$725 000,,
#207 -280 Lester St,Condo,2,2,$328 900,,
#701-8 Hickory St,Condo,3,2,$539 999,,
125 Steeplechase Way,House,5,3,$834 900,,
475 Forestlawn Road,House,4,2,$680 000,,
564 Elm Ridge Place,House,3,3,$579 900,,
93 Churchill St,House,4,3,$379 900,,
#B102 -275 Larch St,Condo,1,1,$279 900,,
409 Beechdrops Drive,House,4,3,$769 900,,
411 Beechdrops Drive,House,3,3,$734 900,,
93 Churchill Street,House,4,3,$379 900,,
#520 -280 Lester St,Condo,1,1,$288 000,,
357 - 580 Beaver Creek Road,House,1,1,$79 900,,
714 Wood Lily Street,House,4,4,$749 900,,
500 Sundew Dr,House,4,3,$799 900,,
718 Wood Lily Street,House,4,3,$764 900,,
716 Wood Lily Street,House,4,3,$749 900,,
Lot 22 Foamflower Place,House,3,3,$674 900,,
Lot H030 Foamflower Place,House,3,3,$659 900,,
525 Wood Nettle Way,House,5,4,$1 299 000,,
208 Carriage Way,House,4,4,$977 724,,
612 Winterberry Avenue,House,5,3,$575 000,,
902 - 318 Spruce Street,Condo,2,2,$344 900,,
H505 - 62 Balsam Street,Detached,1,2,$334 900,,
248 Old Abbey Road,House,5,5,$998 500,,
228 Ladyslipper Drive,House,3,2,$899 899,,
534 Millstream Dr,House,4,3,$825 000,,
78 Fountain Street,House,3,2,$699 999,,
325 Dale Cres,House,4,2,$599 900,,
#808 -255 Keats Way,Condo,2,2,$429 900,,
808 - 255 Keats Way,Condo,2,2,$429 900,,
319 Rideau River Place,House,5,4,$1 299 900,,
628 Maple Forest Place,House,5,4,$980 000,,
609 Yarmouth Drive,House,6,4,$769 900,,
325 Dale Crescent,House,4,2,$599 900,,
708 Black Cherry St,House,3,4,$568 880,,
#305 -275 Larch St,Condo,2,2,$392 000,,
304 - 250 Albert Street,Condo,1,1,$279 900,,
## 1009 -318 Spruce St,Condo,1,1,$269 000,,
504 Wasaga Crescent,House,3,3,$659 800,,
#G509 -275 Larch St,Condo,2,2,$395 000,,
72 Amos Ave,House,6,3,$699 000,,
72 Amos Avenue,House,6,3,$699 000,,
Lot 7 Cornridge Place,House,4,4,$1 533 220,,
Lot 2 Cornridge Place,House,3,3,$1 436 707,,
Lot 9 Cornridge Place,House,1,2,$1 429 626,,
Lot 1 Cornridge Place,House,3,4,$1 359 033,,
Lot 5 Cornridge Place,House,4,3,$1 326 593,,
Lot 3 Cornridge Place,House,3,3,$1 249 873,,
Lot 4 Cornridge Place,House,3,3,$1 224 873,,
706a Highpoint Ave,House,3,2,$409 900,,
706a Highpoint Avenue,House,3,2,$409 900,,
114 Steeplechase Way,House,5,3,$750 000,,
707 Conservation Dr,House,3,2,$474 900,,
#608 -308 Lester St,Condo,1,1,$290 000,,
504 Gristmill St,House,4,3,$799 000,,
F-208 - 275 Larch Street,Condo,1,2,$369 900,,
#1606 -318 Spruce St,Condo,2,2,$315 000,,
43 Young St W,House,5,4,$950 000,,
656 Indian Grass Street,House,3,3,$699 900,,
#301 -392 Albert St,Condo,5,5,$625 000,,
305 - 253 Albert Street,Condo,2,2,$379 900,,
417 - 308 Lester Street,Condo,1,1,$280 000,,
266 - 580 Beaver Creek Road,House,2,1,$95 000,,
#N-2204 -330 Phillip St,Condo,4,3,$549 000,,
#1515 -258 Sunview St,Condo,2,1,$345 990,,
212 - 188 King Street,Condo,2,2,$424 900,,
284 Old Post Road,House,6,4,$869 000,,
196b Cavelletti Crt,House,4,3,$489 900,,
812 Sundrops Court,House,4,4,$1 159 900,,
#G203 -275 Larch St,Condo,1,1,$279 900,,
