address, house type, # of beds, # of baths, price
559 Manor Ridge Crescent,House,4,5,$1 699 900
850 Creekside Drive,House,5,5,$1 259 000
52 - 50 Blue Springs Drive,Condo,2,2,$539 000
106 - 250 Glenridge Drive,Condo,3,2,$449 900
594 Leighland Drive,House,4,4,$1 299 000
801 Sundrops Court,House,4,4,$1 150 800
526 Twin Oaks Cres,House,3,2,$579 000
27 Cardill Crescent,House,6,3,$559 900
405 - 250 Glenridge Drive,Condo,3,2,$549 900
205 Harvard Road,House,4,2,$499 999
280 Dale Crescent,House,3,2,$499 000
B307 - 112 Union Street E,Townhouse,2,1,$449 900
D - 223 Harvard Place,Townhouse,3,2,$319 000
Lot 1 Foamflower Place,House,4,4,$796 900
509 Wood Nettle Way,House,5,3,$1 075 000
301 Sweet Gale Street,House,4,3,$750 000
115 Glenecho Court,House,4,3,$729 900
#1003 -158 King St N,Condo,2,2,$399 840
#T1-1805 -330 Phillip St,Condo,2,1,$339 000
301-405 Erb Street West,Condo,2,2,$324 888
401 Old Oak Dr,House,5,5,$950 000
Lot 2 Foamflower Place,House,3,3,$699 900
768 Karlsfeld Rd,House,3,3,$679 999
18 Moore Ave,House,3,2,$649 900
134 Roger Street,House,2,2,$449 900
4425 Fountain St N,House,5,2,$4 500 000
Lot 3 Foamflower Place,House,3,3,$694 900
389 Tealby Crescent,House,3,3,$629 000
493 Thorndale Drive,House,4,4,$550 000
287 Pastern Trail,House,3,3,$485 000
531 Virginia Creeper Street,House,3,2,$469 000
#17 -121 University Ave E,Townhouse,5,3,$309 900
521-308 Lester Street,Condo,1,1,$284 888
760 Butternut Avenue,House,3,3,$549 000
590 Springwater Drive,House,4,3,$849 900
628 Montpellier Dr,House,7,4,$799 000
300 Autumn Place,House,4,4,$759 900
19 - 460 Woolwich Street,Townhouse,3,3,$549 900
